"image","n","p","frobenius","k","error","rel","cumvar","k95","k99","k999"
"image1",1000,100,705.461677189919,1,313.961499097716,0.445044017625913,0.801935822375386,63,91,99
"image1",1000,100,705.461677189919,2,311.281340974546,0.441244862817326,0.80530297103732,63,91,99
"image1",1000,100,705.461677189919,3,308.619518425811,0.437471698895314,0.808618512665648,63,91,99
"image1",1000,100,705.461677189919,4,306.003933679034,0.433764077586675,0.811848724995381,63,91,99
"image1",1000,100,705.461677189919,5,303.387356244163,0.430055049131304,0.815052654716671,63,91,99
"image1",1000,100,705.461677189919,6,300.763428600428,0.426335601670761,0.81823795474803,63,91,99
"image1",1000,100,705.461677189919,7,298.162922441141,0.422649354432433,0.821367523197848,63,91,99
"image1",1000,100,705.461677189919,8,295.625046156076,0.419051885757488,0.824395517043093,63,91,99
"image1",1000,100,705.461677189919,9,293.094424042108,0.415464699953082,0.827389083092895,63,91,99
"image1",1000,100,705.461677189919,10,290.559720087473,0.411871728092823,0.830361679597831,63,91,99
"image1",1000,100,705.461677189919,11,288.0242714002,0.408277700565526,0.833309319220927,63,91,99
"image1",1000,100,705.461677189919,12,285.510317640437,0.404714142343942,0.836206462986807,63,91,99
"image1",1000,100,705.461677189919,13,282.999871053962,0.401155555580625,0.8390742202268,63,91,99
"image1",1000,100,705.461677189919,14,280.514894181129,0.397633072427847,0.841887939711591,63,91,99
"image1",1000,100,705.461677189919,15,278.03392930702,0.394116276329167,0.844672360732431,63,91,99
"image1",1000,100,705.461677189919,16,275.557786918902,0.390606316159564,0.847426705776255,63,91,99
"image1",1000,100,705.461677189919,17,273.067229058961,0.387075921893697,0.850172230690145,63,91,99
"image1",1000,100,705.461677189919,18,270.583621174247,0.38355537929724,0.85288527101215,63,91,99
"image1",1000,100,705.461677189919,19,268.093959747352,0.380026255735473,0.855580044951676,63,91,99
"image1",1000,100,705.461677189919,20,265.636816074708,0.376543226462456,0.858215198605243,63,91,99
"image1",1000,100,705.461677189919,21,263.160462963598,0.373032967590601,0.86084640509055,63,91,99
"image1",1000,100,705.461677189919,22,260.686584489126,0.369526216544496,0.86345037528631,63,91,99
"image1",1000,100,705.461677189919,23,258.202256919784,0.366004653786846,0.86604059340637,63,91,99
"image1",1000,100,705.461677189919,24,255.73490446544,0.36250715344895,0.868588563698339,63,91,99
"image1",1000,100,705.461677189919,25,253.270665024224,0.359014065842787,0.871108900527031,63,91,99
"image1",1000,100,705.461677189919,26,250.80097233221,0.355513248191214,0.873610330360532,63,91,99
"image1",1000,100,705.461677189919,27,248.347151388612,0.352034928924641,0.876071408817023,63,91,99
"image1",1000,100,705.461677189919,28,245.893655508464,0.348557070439229,0.878507968646822,63,91,99
"image1",1000,100,705.461677189919,29,243.439059731418,0.345077652837378,0.880921413512246,63,91,99
"image1",1000,100,705.461677189919,30,240.978808991544,0.341590219261009,0.883316122105215,63,91,99
"image1",1000,100,705.461677189919,31,238.500211944486,0.33807677958427,0.885704091105929,63,91,99
"image1",1000,100,705.461677189919,32,236.055627388852,0.334611553003329,0.8880351085967,63,91,99
"image1",1000,100,705.461677189919,33,233.612542597685,0.331148452355682,0.890340702502437,63,91,99
"image1",1000,100,705.461677189919,34,231.159013002615,0.327670546078982,0.892632013232302,63,91,99
"image1",1000,100,705.461677189919,35,228.700914561201,0.324186163410308,0.894903331453305,63,91,99
"image1",1000,100,705.461677189919,36,226.228912534664,0.320682072250624,0.897163008537045,63,91,99
"image1",1000,100,705.461677189919,37,223.757460452539,0.317178760643436,0.899397633796693,63,91,99
"image1",1000,100,705.461677189919,38,221.288116379681,0.313678437163508,0.901605838058659,63,91,99
"image1",1000,100,705.461677189919,39,218.826183976305,0.310188619809881,0.903783020140441,63,91,99
"image1",1000,100,705.461677189919,40,216.356020313683,0.306687134552083,0.905943001500232,63,91,99
"image1",1000,100,705.461677189919,41,213.894527488054,0.303197940304942,0.90807100899484,63,91,99
"image1",1000,100,705.461677189919,42,211.426360824057,0.299699285815548,0.91018033808165,63,91,99
"image1",1000,100,705.461677189919,43,208.955357541141,0.296196610386374,0.912267567995622,63,91,99
"image1",1000,100,705.461677189919,44,206.476493533942,0.292682792290582,0.914336783096988,63,91,99
"image1",1000,100,705.461677189919,45,203.980726100247,0.289145013394303,0.916395161229208,63,91,99
"image1",1000,100,705.461677189919,46,201.463256534849,0.285576471478,0.918446078938175,63,91,99
"image1",1000,100,705.461677189919,47,198.955316622842,0.282021437954425,0.920463908534118,63,91,99
"image1",1000,100,705.461677189919,48,196.447922032335,0.278467177430318,0.922456031093992,63,91,99
"image1",1000,100,705.461677189919,49,193.926771761749,0.274893418072293,0.924433608700532,63,91,99
"image1",1000,100,705.461677189919,50,191.40851511866,0.271323760464356,0.926383417007481,63,91,99
"image1",1000,100,705.461677189919,51,188.903775440574,0.267773263308984,0.928297479456857,63,91,99
"image1",1000,100,705.461677189919,52,186.388180000309,0.264207377986502,0.930194461417497,63,91,99
"image1",1000,100,705.461677189919,53,183.84205571772,0.260598217680686,0.93208856894165,63,91,99
"image1",1000,100,705.461677189919,54,181.287725711657,0.256977425667946,0.933962602697075,63,91,99
"image1",1000,100,705.461677189919,55,178.709335692208,0.253322528310914,0.935827696650166,63,91,99
"image1",1000,100,705.461677189919,56,176.117367714991,0.249648384043373,0.937675684344533,63,91,99
"image1",1000,100,705.461677189919,57,173.504934172423,0.24594522960276,0.939510944035646,63,91,99
"image1",1000,100,705.461677189919,58,170.895915085276,0.242246915191779,0.941316432080067,63,91,99
"image1",1000,100,705.461677189919,59,168.310583421097,0.238582177973908,0.943078544353226,63,91,99
"image1",1000,100,705.461677189919,60,165.68733984162,0.234863700182277,0.944839042336689,63,91,99
"image1",1000,100,705.461677189919,61,163.03242693989,0.231100330763963,0.946592637120787,63,91,99
"image1",1000,100,705.461677189919,62,160.365700466925,0.227320215473239,0.9483255196372,63,91,99
"image1",1000,100,705.461677189919,63,157.685670362117,0.223521242132145,0.950038254315703,63,91,99
"image1",1000,100,705.461677189919,64,155.004676534173,0.219720902702478,0.951722724915608,63,91,99
"image1",1000,100,705.461677189919,65,152.322976007989,0.215919561519969,0.953378742953024,63,91,99
"image1",1000,100,705.461677189919,66,149.609758962039,0.212073545310049,0.955024811379627,63,91,99
"image1",1000,100,705.461677189919,67,146.887232345382,0.208214332677121,0.956646791667821,63,91,99
"image1",1000,100,705.461677189919,68,144.136041768359,0.204314488552375,0.958255589767581,63,91,99
